location_name,location_id,province,province_id,municipality,municipality_id,location_type,page,area
De Haan - Lindenhof (LHDH),31240,West-Vlaanderen,15.0,De Haan,24018.0,Gebied,116,"2,73 km2"
De Haan - Reservaat De Kijkuit (KUDH),31235,West-Vlaanderen,15.0,De Haan,24018.0,Gebied,116,"14,71 ha"
De Haan - Staatsbos (SBDH),31238,West-Vlaanderen,15.0,De Haan,24018.0,Gebied,116,"49,37 ha"
De Haan - Strand De Haan tot Vosseslag (SDV),31232,West-Vlaanderen,15.0,De Haan,24018.0,Gebied,116,"86,15 ha"
De Haan - Strand (SDH),31234,West-Vlaanderen,15.0,De Haan,24018.0,Gebied,116,"28,92 ha"
De Haan - Weiden Noordede (WNKL),31318,West-Vlaanderen,15.0,De Haan,24018.0,Gebied,116,"5,01 km2"
De Haan/Wenduine - Campingzone (CZDW),28860,West-Vlaanderen,15.0,De Haan,24018.0,Gebied,116,"69,35 ha"
De Haan/Wenduine - Polders (PODW),31252,West-Vlaanderen,15.0,De Haan,24018.0,Gebied,116,"5,87 km2"
De Haan/Wenduine - Strand (SDW),31244,West-Vlaanderen,15.0,De Haan,24018.0,Gebied,116,"1,07 km2"
De Helix - Raspaillebos,684785,Oost-Vlaanderen,16.0,Galmaarden,23224.0,Gebied,116,"2,32 km2"
De Klijte - Dorp - Scherpenberg,32145,West-Vlaanderen,15.0,Heuvelland,91761.0,Gebied,116,"88,53 ha"
De Klijte - Dorp - Scherpenberg - Top Scherpenberg,32147,West-Vlaanderen,15.0,Heuvelland,91761.0,Gebied,116,"8,5 ha"
De Klijte - Dorp - Scherpenberg - Vallei Scherpenbergbeek - Noord,32146,West-Vlaanderen,15.0,Heuvelland,91761.0,Gebied,116,"12,61 ha"
De Klijte - Dorp - Scherpenberg - Vallei ten oosten van Scherpenberg,32149,West-Vlaanderen,15.0,Heuvelland,91761.0,Gebied,116,"60,77 ha"
De Klijte - Dorp - Scherpenberg - Zavelaarbos en -bosjes,32148,West-Vlaanderen,15.0,Heuvelland,91761.0,Gebied,116,"6,66 ha"
De Klijte - Dorp (Dg),27352,West-Vlaanderen,15.0,Westouter (Dg),24100.0,Deelgemeente,116,"4,89 km2"
De Klinge (Dg),27366,Oost-Vlaanderen,16.0,Sint-Gillis-Waas,24128.0,Deelgemeente,117,"2,81 km2"
"De Maatjes, Wuustwezelheide en Groot Schietveld - N2000",713733,Antwerpen,17.0,Brasschaat,23366.0,Gebied,117,"41,09 km2"
De Maten - N2000 (A),713730,Limburg,14.0,Diepenbeek,23451.0,Gebied,117,"5,66 km2"
De Maten - N2000 (B),713715,Limburg,14.0,Diepenbeek,23451.0,Gebied,117,"5,36 km2"
De Mechelse Heide en de Vallei van de Ziepbeek - N2000,702036,Limburg,14.0,As,23460.0,Gebied,117,"23,44 km2"
De Moeren - Zone Jagerstraat-Bergenvaart,629716,West-Vlaanderen,15.0,Veurne,24054.0,Gebied,117,"63,5 ha"
De Moeren (Dg),27280,West-Vlaanderen,15.0,Veurne,24054.0,Deelgemeente,117,"11,74 km2"
De Panne,24058,West-Vlaanderen,15.0,—,,Gemeente,117,"24,28 km2"
De Panne - Cabourduinen,31198,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"82,61 ha"
De Panne - Calmeynbos,31202,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"47,98 ha"
De Panne - Camping Greenpark,252016,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"4,59 ha"
De Panne - Camping Zeepark,685131,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"11,63 ha"
De Panne - De Westhoek,31197,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"3,42 km2"
De Panne - De Westhoek - Strand,31196,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"87,43 ha"
De Panne - De Westhoek - Zuid,191614,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"25,33 ha"
De Panne - Drie Vijvers,28502,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"17,26 ha"
De Panne - Houtsaegherduinen,31206,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"1,03 km2"
De Panne - Krakeelduinen en Duinhoek,31201,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"63,87 ha"
De Panne - Oosthoek,31204,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"59,72 ha"
De Panne - Telpost Witte Berg,91286,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"12,51 ha"
De Panne - Vissersdorp,31203,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"1,86 ha"
De Panne-Adinkerke - De Moeren,110177,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"2,74 km2"
De Panne-Bad - Strand,31195,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,117,"56,41 ha"
De Pinte,24190,Oost-Vlaanderen,16.0,De Pinte,24190.0,Gemeente,117,"17,73 km2"
De Pinte - De Pierre,30639,Oost-Vlaanderen,16.0,De Pinte,24190.0,Gebied,117,"1,72 ha"
De Pinte - Hagelandplas,44311,Oost-Vlaanderen,16.0,De Pinte,24190.0,Gebied,118,"9,2 ha"
De Pinte - Scheldevelde en de Zeven Dreven,32394,Oost-Vlaanderen,16.0,De Pinte,24190.0,Gebied,118,"2,0 km2"
De Zegge - N2000 (Ontoegankelijk),702037,Antwerpen,17.0,Geel,23092.0,Gebied,118,"86,16 ha"
Décanteurs De Fontenoy,42842,Hainaut,23.0,Antoing (entité),43816.0,project-Gebied,118,"31,22 ha"
Décanteurs de l'ancienne râperie de Waremme (réserve naturelle),43099,Liège,22.0,Waremme (entité),43741.0,Gebied,118,"23,13 ha"
Décanteurs d'Eghezée - Longchamps,43101,Namur,24.0,Eghezée (entité),43787.0,Gebied,118,"63,47 ha"
Décanteurs d'Escanaffles/Avelgem - Bezinkingsputten (ESC),42843,Hainaut,23.0,Mont-de-l'Enclus (entité),43971.0,Gebied,118,"27,5 ha"
Deerlijk,24037,West-Vlaanderen,15.0,—,,Gemeente,118,"17,01 km2"
Deerlijk - De Bonte Os,623755,West-Vlaanderen,15.0,Deerlijk,24037.0,Gebied,118,"14,7 ha"
Deerlijk - De Gavers - Reigersbos (Provinciedomein),84172,West-Vlaanderen,15.0,Deerlijk,24037.0,Gebied,118,"5,82 ha"
Deerlijk - De Gavers - Reigerweiden (Provinciedomein),84173,West-Vlaanderen,15.0,Deerlijk,24037.0,Gebied,118,"4,4 ha"
Deerlijk - Kleine Gavers,678889,West-Vlaanderen,15.0,Deerlijk,24037.0,Gebied,118,"8,33 ha"
Deerlijk - Olekenbos,31855,West-Vlaanderen,15.0,Deerlijk,24037.0,Gebied,118,"19,53 ha"
Deerlijk - Veemeersen,31856,West-Vlaanderen,15.0,Deerlijk,24037.0,Gebied,118,"31,59 ha"
Deerlijk - Wijmelbroek,134326,West-Vlaanderen,15.0,Deerlijk,24037.0,Gebied,118,"3,54 ha"
Deerlijk - Wilgenhoek,679258,West-Vlaanderen,15.0,Deerlijk,24037.0,Gebied,118,5.074 m2
Dèflière - Saint-Sauveur,121950,Hainaut,23.0,Frasnes-lez-Anvaing (entité),43738.0,Gebied,118,"1,04 km2"
Deftinge (Dg),27533,Oost-Vlaanderen,16.0,Lierde,24166.0,Deelgemeente,118,"7,69 km2"
Deinze,24185,Oost-Vlaanderen,16.0,—,,Gemeente,118,"76,08 km2"
Deinze - Bedrijventerrein De Prijkels,126184,Oost-Vlaanderen,16.0,Deinze,24185.0,Gebied,118,"49,83 ha"
Deinze - Bosje Prijkels,126182,Oost-Vlaanderen,16.0,Deinze,24185.0,Gebied,118,"3,69 ha"
Deinze - De Brielmeersen (Prov. Dom. Oost-Vlaanderen),615691,Oost-Vlaanderen,16.0,Deinze,24185.0,Gebied,118,"39,6 ha"
Deinze - De Soeverein,108721,Oost-Vlaanderen,16.0,Deinze,24185.0,Gebied,118,"4,88 ha"
Deinze - Vallei van de Zeverenbeek,24525,Oost-Vlaanderen,16.0,Deinze,24185.0,Gebied,118,"2,14 km2"
Demervallei - N2000,713728,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,118,"49,11 km2"
den Battelaer - Plag,35017,Antwerpen,17.0,Heffen (Dg),23350.0,Gebied,119,"2,59 ha"
Denderbelle (Dg),27421,Oost-Vlaanderen,16.0,Lebbeke,24140.0,Deelgemeente,119,"6,17 km2"
Denderhoutem - Anderenbroek,240692,Oost-Vlaanderen,16.0,Haaltert,24154.0,Gebied,119,"99,71 ha"
Denderhoutem (Dg),27490,Oost-Vlaanderen,16.0,Haaltert,24154.0,Deelgemeente,119,"12,32 km2"
Denderhoutem/Welle - Wildebeekvallei,192992,Oost-Vlaanderen,16.0,Haaltert,24154.0,Gebied,119,"24,29 ha"
Denderleeuw,24156,Oost-Vlaanderen,16.0,—,,Gemeente,119,"13,88 km2"
Denderleeuw - Dendermeersen,30408,Oost-Vlaanderen,16.0,Denderleeuw,24156.0,Gebied,119,"62,07 ha"
Denderleeuw - Vlamovenkouter,30404,Oost-Vlaanderen,16.0,Denderleeuw,24156.0,Gebied,119,"3,38 km2"
Denderleeuw - Vlamovenkouter - Telpost Vlamour,30405,Oost-Vlaanderen,16.0,Denderleeuw,24156.0,Gebied,119,2.253 m2
Denderleeuw - Vlamovenkouter - Vlamoven,30406,Oost-Vlaanderen,16.0,Denderleeuw,24156.0,Gebied,119,"8,54 ha"
Denderleeuw - Wellemeersen,24402,Oost-Vlaanderen,16.0,Denderleeuw,24156.0,Gebied,119,"1,19 km2"
Denderleeuw - Wellemeersen - Gatesvijver,30401,Oost-Vlaanderen,16.0,Denderleeuw,24156.0,Gebied,119,"5,08 ha"
Denderleeuw - Wellemeersen - Spoorwegberm lijn 50,191807,Oost-Vlaanderen,16.0,Denderleeuw,24156.0,Gebied,119,"1,68 ha"
Denderleeuw - Wellemeersen - Spoorweglijn 50A,191808,Oost-Vlaanderen,16.0,Denderleeuw,24156.0,Gebied,119,"2,24 ha"
Denderleeuw - Wellemeersen - Steenweg,30403,Oost-Vlaanderen,16.0,Denderleeuw,24156.0,Gebied,119,"10,36 ha"
Denderleeuw - Wellemeersen - Weide Erembodegem,30400,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,119,"20,35 ha"
Denderleeuw - Wellemeersen - Weiden,30402,Oost-Vlaanderen,16.0,Denderleeuw,24156.0,Gebied,119,"12,76 ha"
Dendermonde,24132,Oost-Vlaanderen,16.0,—,,Gemeente,119,"56,46 km2"
Dendermonde - BASTION VIII,229211,Oost-Vlaanderen,16.0,Dendermonde,24132.0,Gebied,119,"2,72 ha"
Dendermonde - Kalendijk,192699,Oost-Vlaanderen,16.0,Dendermonde,24132.0,Gebied,119,"36,05 ha"
Dendermonde - Sint-Onolfspolder,24382,Oost-Vlaanderen,16.0,Dendermonde,24132.0,Gebied,119,"4,5 km2"
Dendervallei Grimminge/ Zandbergen/Idegem - Lestpolder,30424,Oost-Vlaanderen,16.0,Idegem (Dg),24160.0,Gebied,119,"23,55 ha"
Dendervallei Grimminge/Zandbergen/Idegem,30421,Oost-Vlaanderen,16.0,Idegem (Dg),24160.0,Gebied,119,"2,31 km2"
Dendervallei Grimminge/Zandbergen/Idegem - Gemene Meers,30422,Oost-Vlaanderen,16.0,Idegem (Dg),24160.0,Gebied,119,"75,12 ha"
Dendervallei Grimminge/Zandbergen/Idegem - Nuchten,192695,Oost-Vlaanderen,16.0,Geraardsbergen,24159.0,Gebied,119,"1,23 km2"
Dendervallei Onkerzele/Schendelbeke,28403,Oost-Vlaanderen,16.0,Geraardsbergen,24159.0,Gebied,120,"2,36 km2"
Dendervallei Onkerzele/Schendelbeke - Boelaremeersen,30426,Oost-Vlaanderen,16.0,Geraardsbergen,24159.0,Gebied,120,"44,97 ha"
Dendervallei Onkerzele/Schendelbeke - De Gavers,189041,Oost-Vlaanderen,16.0,Geraardsbergen,24159.0,Gebied,120,"1,35 km2"
Denderwindeke (Dg),27530,Oost-Vlaanderen,16.0,Ninove,24147.0,Deelgemeente,120,"15,33 km2"
Dendre - tronçon de Ath à Deux-Acren,72805,Hainaut,23.0,Lessines (entité),43730.0,Gebied,120,"73,58 ha"
Denée,42451,Namur,24.0,Anhée (entité),43903.0,Deelgemeente,120,"10,35 km2"
Dentergem,24065,West-Vlaanderen,15.0,—,,Gemeente,120,"26,14 km2"
Dentergem - Baliekouter (Provinciedomein),31418,West-Vlaanderen,15.0,Dentergem,24065.0,Gebied,120,"46,87 ha"
Dentergem - Meikensbos,680156,West-Vlaanderen,15.0,Dentergem,24065.0,Gebied,120,"58,05 ha"
Dentergem - Oude Mandelbeekvallei,28883,Oost-Vlaanderen,16.0,Dentergem,24065.0,Gebied,120,"2,16 km2"
Dépendances de la carrière de Merlemont,241348,Namur,24.0,Philippeville (entité),43926.0,Gebied,120,"6,89 ha"
Dépression du Bois de la Côre ou de la Sente (Virton),179497,Luxembourg,26.0,Virton (entité),43966.0,Gebied,120,"12,3 ha"
Dergneau,41873,Hainaut,23.0,Frasnes-lez-Anvaing (entité),43738.0,Deelgemeente,120,"4,69 km2"
Dergneau - Beauvolers - Lableau,603816,Hainaut,23.0,Frasnes-lez-Anvaing (entité),43738.0,Gebied,120,"2,56 km2"
Dergneau - Francheterre - Grand Canton,603814,Hainaut,23.0,Frasnes-lez-Anvaing (entité),43738.0,Gebied,120,"1,12 km2"
Dergneau - Marais - centre village,603815,Hainaut,23.0,Frasnes-lez-Anvaing (entité),43738.0,Deelgemeente,120,"1,95 km2"
Derrière chez Mélanie (réserve naturelle),252408,Luxembourg,26.0,Durbuy (entité),43877.0,Gebied,120,"4,12 ha"
Derrière les Courtils (Durbuy),179866,Luxembourg,26.0,Durbuy (entité),43877.0,Gebied,120,"10,79 ha"
Derrière Vesin (réserve naturelle),676509,Luxembourg,26.0,Durbuy (entité),43877.0,Gebied,120,"30,3 ha"
Derrière Wezin,73111,Luxembourg,26.0,Durbuy (entité),43877.0,Gebied,120,"66,45 ha"
Dessel,23327,Antwerpen,17.0,Dessel,23327.0,Gemeente,120,"27,37 km2"
Dessel - Goormansdijk,189063,Antwerpen,17.0,Dessel,23327.0,Gebied,120,"45,91 ha"
Dessel - Halve Rooien,190198,Antwerpen,17.0,Dessel,23327.0,Gebied,120,"1,01 km2"
Dessel - Muizenput en omgeving,134434,Antwerpen,17.0,Mol,23091.0,Gebied,120,"1,4 km2"
Dessel - Steenhei/Terreinen Niras,252265,Antwerpen,17.0,Dessel,23327.0,Gebied,120,"1,4 km2"
Dessel - Steenhei/Terreinen Niras - Niras/Belgoprocess (Ontoegankelijk),252266,Antwerpen,17.0,Dessel,23327.0,Gebied,121,"26,78 ha"
Dessel - Vistrap Desselse Nete,241172,Antwerpen,17.0,Dessel,23327.0,Gebied,121,"1,52 ha"
Desselgem - Leie,31813,West-Vlaanderen,15.0,Waregem,24073.0,Gebied,121,"13,67 ha"
Desselgem - Oude Leie,31818,West-Vlaanderen,15.0,Waregem,24073.0,Gebied,121,"6,68 ha"
Desselgem - Visputten,31819,West-Vlaanderen,15.0,Waregem,24073.0,Gebied,121,"11,19 ha"
Desselgem (Dg),24075,West-Vlaanderen,15.0,Waregem,24073.0,Deelgemeente,121,"7,41 km2"
Dessel/Mol,28622,Antwerpen,17.0,Mol,23091.0,Gebied,121,"14,03 km2"
Dessel/Mol - Groesgoor en Koemoek,29155,Antwerpen,17.0,Mol,23091.0,Gebied,121,"8,66 km2"
Dessel/Mol - Russendorp,29156,Antwerpen,17.0,Mol,23091.0,Gebied,121,"3,71 km2"
Dessel/Mol - 't Goor,29154,Antwerpen,17.0,Dessel,23327.0,Gebied,121,"1,38 km2"
Dessus le Long Thier,73167,Liège,22.0,Bassenge (entité),43714.0,Gebied,121,"7,29 ha"
Destelbergen,24117,Oost-Vlaanderen,16.0,—,,Gemeente,121,"26,66 km2"
Destelbergen - Damvallei,24451,Oost-Vlaanderen,16.0,Destelbergen,24117.0,Gebied,121,"2,87 km2"
Destelbergen - Eenbeekeinde,180246,Oost-Vlaanderen,16.0,Destelbergen,24117.0,Gebied,121,"2,96 km2"
Destelbergen - Vlinderberm,140651,Oost-Vlaanderen,16.0,Destelbergen,24117.0,Gebied,121,"1,33 ha"
Desteldonk - Begraafplaats,675635,Oost-Vlaanderen,16.0,Lochristi,24118.0,Gebied,121,5.960 m2
Desteldonk - Mendonk,71847,Oost-Vlaanderen,16.0,Lochristi,24118.0,Deelgemeente,121,"15,92 km2"
Deurle (Dg),24189,Oost-Vlaanderen,16.0,Sint-Martens-Latem,24188.0,Deelgemeente,121,"5,39 km2"
Deurne,30985,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,121,"2,63 km2"
Deurne - Begraafplaats,600254,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,121,2.723 m2
Deurne - Eksterlaerpark,696220,Antwerpen,17.0,Antwerpen,91762.0,Gebied,121,"1,76 ha"
Deurne - Koude Beek Silsburg,241838,Antwerpen,17.0,Antwerpen,91762.0,Gebied,121,"4,07 ha"
Deurne - Park Groot Schijn,676405,Antwerpen,17.0,Antwerpen,91762.0,Gebied,121,"17,9 ha"
Deurne - Rivierenhof en Groot Schijn (Stad Antwerpen),687171,Antwerpen,17.0,Antwerpen,91762.0,Gebied,121,"2,19 km2"
Deurne - Rivierenhof (Groendomein provincie Antwerpen - regio Antw.),71783,Antwerpen,17.0,Antwerpen,91762.0,Gebied,121,"1,41 km2"
Deurne (A) - Boekenbergpark,189961,Antwerpen,17.0,Antwerpen,91762.0,Gebied,122,"11,99 ha"
Deurne (Antwerpen) (Dg),27156,Antwerpen,17.0,Deurne (Antwerpen) (Dg),23283.0,Deelgemeente,122,"12,95 km2"
Deurne (Antwerpen) (Dg),23283,Antwerpen,17.0,Antwerpen,91762.0,Deelgemeente,122,"13,21 km2"
Deurne (Diest) - Lapse Heide,28344,Limburg,14.0,Tessenderlo,23500.0,Gebied,122,"1,19 km2"
Deurne (Diest) - Molenberg,30986,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,122,"67,65 ha"
Deurne (Diest) - Rodenberg,30984,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,122,"84,28 ha"
Deurne (Diest) (Dg),27689,Vlaams-Brabant,20.0,Diest,23411.0,Deelgemeente,122,"6,49 km2"
Deurne/Schilde - Schijnvallei,24435,Antwerpen,17.0,Wommelgem,23287.0,Gebied,122,"6,59 km2"
Deux-Acren,23982,Hainaut,23.0,Lessines (entité),43730.0,Deelgemeente,122,"15,33 km2"
Deux-Acren (Petit Marais),42875,Hainaut,23.0,Lessines (entité),43730.0,Gebied,122,"14,73 ha"
Deux-Ourthes (réserve naturelle),179107,Luxembourg,26.0,Bertogne (entité),43936.0,Gebied,122,"13,82 ha"
Devant le Roké (Rochefort),179678,Namur,24.0,Rochefort (entité),43923.0,Gebied,122,"5,24 ha"
Devant le Terme (Paliseul),179607,Luxembourg,26.0,Paliseul (entité),43948.0,Gebied,122,"7,16 ha"
Devant-Bouvignes (réserve naturelle),252434,Namur,24.0,Dinant (entité),43913.0,Gebied,122,"1,09 km2"
Dhuy,42557,Namur,24.0,Eghezée (entité),43787.0,Deelgemeente,122,"10,53 km2"
Diegem - Begraafplaats,604875,Vlaams-Brabant,20.0,Machelen,24242.0,Gebied,122,"1,41 ha"
Diegem (Dg),23258,Vlaams-Brabant,20.0,Machelen,24242.0,Deelgemeente,122,"5,45 km2"
Diepenbeek,23451,Limburg,14.0,Bilzen,23100.0,Gemeente,122,"41,37 km2"
Diepenbeek - 'Bewel'-moeras,29593,Limburg,14.0,Diepenbeek,23451.0,Gebied,122,"27,87 ha"
Diepenbeek - Bijenberg,676386,Limburg,14.0,Diepenbeek,23451.0,Gebied,122,"1,25 km2"
Diepenbeek - Bijenberg - Langwater,29594,Limburg,14.0,Diepenbeek,23451.0,Gebied,122,"33,44 ha"
Diepenbeek - Broekbosvijvers,29603,Limburg,14.0,Diepenbeek,23451.0,Gebied,122,"35,6 ha"
Diepenbeek - Caetsweyers (LiLa),252516,Limburg,14.0,Diepenbeek,23451.0,Gebied,122,"82,19 ha"
Diepenbeek - Dauteweyers,24312,Limburg,14.0,Diepenbeek,23451.0,Gebied,122,"25,46 ha"
Diepenbeek - De Dijken,29598,Limburg,14.0,Diepenbeek,23451.0,Gebied,122,"2,6 km2"
Diepenbeek - Dorpsbemden,29601,Limburg,14.0,Diepenbeek,23451.0,Gebied,123,"1,08 km2"
Diepenbeek - Dorpsbemden Oost,29648,Limburg,14.0,Diepenbeek,23451.0,Gebied,123,"27,15 ha"
Diepenbeek - Dorpsbemden West,29647,Limburg,14.0,Diepenbeek,23451.0,Gebied,123,"76,97 ha"
Diepenbeek - Nietelbroeken,24290,Limburg,14.0,Diepenbeek,23451.0,Gebied,123,"5,39 km2"
Diepenbeek - Sluisbemden,108724,Limburg,14.0,Diepenbeek,23451.0,Gebied,123,"2,45 km2"
Diepenbeek - Sluisbemden - Miserik,29600,Limburg,14.0,Diepenbeek,23451.0,Gebied,123,"50,96 ha"
Diepenbeek - Sluisbemden - Miserikvijvers,29599,Limburg,14.0,Diepenbeek,23451.0,Gebied,123,"8,51 ha"
Diepenbeek - Sluisbemden - UHasselt,91992,Limburg,14.0,Diepenbeek,23451.0,Gebied,123,"75,39 ha"
Diepenbeek - tijdelijk gebied bij Albertkanaal,189927,Limburg,14.0,Diepenbeek,23451.0,Gebied,123,"59,4 ha"
Diepenbeek - UHasselt - Demeroever,190431,Limburg,14.0,Diepenbeek,23451.0,Gebied,123,"9,22 ha"
Diepenbeek - Visserij,29602,Limburg,14.0,Diepenbeek,23451.0,Gebied,123,"18,87 ha"
Diest,23411,Vlaams-Brabant,20.0,—,,Gemeente,123,"58,69 km2"
Diest - Begijnenbeekvallei ten NO van Paepenbroek,31015,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,123,"88,89 ha"
Diest - Begraafplaats Halve Maanplaats,600265,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,123,"2,82 ha"
Diest - Centrum,30991,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,123,"1,74 km2"
Diest - Citadel,30992,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,123,"34,33 ha"
Diest - Diesters Broek,31006,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,123,"54,53 ha"
Diest - Fort Leopold,30989,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,123,"48,6 ha"
Diest - Gasthuisbos,31022,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,123,"94,81 ha"
Diest - Halve Maan,92164,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,123,"20,6 ha"
Diest - Hooilandse berg,240689,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,123,"49,43 ha"
Diest - Kloosterberg,31014,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,123,"88,41 ha"
Diest - Wallen,121661,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,123,"35,84 ha"
Diest - Webbekoms broek,121662,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,123,"1,75 km2"
Diestersteenweg (Dg),27702,Vlaams-Brabant,20.0,Scherpenheuvel (Dg),23408.0,Deelgemeente,123,"6,55 km2"
Diest/Zichem - Molenstedebroek,28482,Vlaams-Brabant,20.0,Diest,23411.0,Gebied,124,"3,57 km2"
Dikkebus - Dikkebusbvijver - Slibstort met wilgenstruweel,32026,West-Vlaanderen,15.0,Heuvelland,91761.0,Gebied,124,"13,36 ha"
Dikkebus - Dikkebusvijver,32025,West-Vlaanderen,15.0,Ieper,24088.0,Gebied,124,"51,32 ha"
Dikkebus - Dikkebusvijver - Vijver en oevers,32027,West-Vlaanderen,15.0,Ieper,24088.0,Gebied,124,"39,42 ha"
Dikkebus (Dg),27346,West-Vlaanderen,15.0,Ieper,24088.0,Deelgemeente,124,"10,06 km2"
Dikkele (Dg),27481,Oost-Vlaanderen,16.0,Zwalm,24171.0,Deelgemeente,124,"1,45 km2"
Dikkelvenne - Boomgaarden en omgeving Eikstraat,135209,Oost-Vlaanderen,16.0,Gavere,24196.0,Gebied,124,"32,24 ha"
Dikkelvenne - Kasteelpark,133836,Oost-Vlaanderen,16.0,Gavere,24196.0,Gebied,124,"31,48 ha"
Dikkelvenne - Scheldemeersen,135206,Oost-Vlaanderen,16.0,Gavere,24196.0,Gebied,124,"83,32 ha"
Dikkelvenne - Zandgroeve (Dv-1),36046,Oost-Vlaanderen,16.0,Gavere,24196.0,Gebied,124,"9,05 ha"
Dikkelvenne (Dg),27471,Oost-Vlaanderen,16.0,Gavere,24196.0,Deelgemeente,124,"9,15 km2"
Diksmuide,24051,West-Vlaanderen,15.0,—,,Gemeente,124,150 km2
Diksmuide - IJzerboomgaard (Provinciedomein),676019,West-Vlaanderen,15.0,Diksmuide,24051.0,Gebied,124,"18,59 ha"
Diksmuide - Tervaete paaiplaats,609212,West-Vlaanderen,15.0,Diksmuide,24051.0,Gebied,124,"1,35 ha"
Dilbeek,23239,Vlaams-Brabant,20.0,Dilbeek,23239.0,Gemeente,124,"41,46 km2"
Dilbeek - Begijnenborrebos (Ontoegankelijk),675174,Vlaams-Brabant,20.0,Dilbeek,23239.0,Gebied,124,"14,84 ha"
Dilbeek - Begraafplaats,604919,Vlaams-Brabant,20.0,Dilbeek,23239.0,Gebied,124,"4,43 ha"
Dilbeek - Dansaertvijvers,686670,Vlaams-Brabant,20.0,Dilbeek,23239.0,Gebied,124,"13,18 ha"
Dilbeek - De Wolfsputten,30886,Vlaams-Brabant,20.0,Dilbeek,23239.0,Gebied,124,"1,0 km2"
Dilbeek - IJsbos,694778,Vlaams-Brabant,20.0,Dilbeek,23239.0,Gebied,124,"56,69 ha"
Dilbeek - Park van Dilbeek,686671,Vlaams-Brabant,20.0,Dilbeek,23239.0,Gebied,124,"4,01 ha"
Dilbeek - Snikbergweide,675177,Vlaams-Brabant,20.0,Dilbeek,23239.0,Gebied,124,2.746 m2
Dilbeek - Thaborberg,24390,Vlaams-Brabant,20.0,Dilbeek,23239.0,Gebied,124,"17,77 ha"
Dilsen - Heuvelsven,28700,Limburg,14.0,Dilsen-Stokkem,23458.0,Gebied,124,"1,05 km2"
Dilsen - Heuvelsven - Ven Stockheimderbosch,29781,Limburg,14.0,Dilsen-Stokkem,23458.0,Gebied,124,"1,92 ha"
Dilsen - Platte Lindenberg,29795,Limburg,14.0,Dilsen-Stokkem,23458.0,Gebied,125,"2,22 km2"
Dilsen - Rotem Industrie,674964,Limburg,14.0,Dilsen-Stokkem,23458.0,Gebied,125,"1,52 km2"
Dilsen - Veurzen,29761,Limburg,14.0,Dilsen-Stokkem,23458.0,Gebied,125,"78,88 ha"
Dilsen - Vissersstraat,599111,Limburg,14.0,Dilsen-Stokkem,23458.0,Gebied,125,"1,34 km2"
Dilsen - Voormalige zinkfabriek van Rotem,191632,Limburg,14.0,Dilsen-Stokkem,23458.0,Gebied,125,"22,6 ha"
Dilsen (Dg),27579,Limburg,14.0,Dilsen-Stokkem,23458.0,Deelgemeente,125,"16,36 km2"
Dilsen-Stokkem,23458,Limburg,14.0,Dilsen-Stokkem,23458.0,Gemeente,125,"65,97 km2"
Dilsen-Stokkem - Damiaan-zuidwest,138053,Limburg,14.0,Dilsen-Stokkem,23458.0,Gebied,125,"4,96 ha"
Dilsen-Stokkem - De Bek - Armenbos,29754,Limburg,14.0,Dilsen-Stokkem,23458.0,Gebied,125,"63,47 ha"
Dilsen-Stokkem - Dilsenerbos,29796,Limburg,14.0,Dilsen-Stokkem,23458.0,Gebied,125,"5,01 km2"
Dilsen-Stokkem - Koeweide,29762,Limburg,14.0,Dilsen-Stokkem,23458.0,Gebied,125,"1,84 km2"
